file_name,year,degreeSeekingFirstYear_AAPI,degreeSeekingFirstYear_AIAN,degreeSeekingFirstYear_Black,degreeSeekingFirstYear_Latinx,degreeSeekingFirstYear_Unknown,degreeSeekingFirstYear_intl,degreeSeekingFirstYear_white,degreeSeekingFirstYear_Asian,degreeSeekingFirstYear_NHPI,degreeSeekingFirstYear_multi,degreeSeekingAll_AAPI,degreeSeekingAll_AIAN,degreeSeekingAll_Black,degreeSeekingAll_Latinx,degreeSeekingAll_Unknown,degreeSeekingAll_intl,degreeSeekingAll_white,degreeSeekingAll_Asian,degreeSeekingAll_NHPI,degreeSeekingAll_multi,allStudents_AAPI,allStudents_AIAN,allStudents_Black,allStudents_Latinx,allStudents_Unknown,allStudents_intl,allStudents_white,allStudents_Asian,allStudents_NHPI,allStudents_multi,forbes_ranking,school_name,public_private,Rigor of secondary school record,Class rank,Academic GPA,Standardized test scores,Application Essay,Recommendation(s),Interview,Extracurricular activities,Talent/ability,Character/personal qualities,First Generation,Alumni/ae relation,Geographical residence,State residency,Religious affiliation/commitment,Racial/ethnic status,Volunteer work,Work experience,Level of applicant’s interest
10_12_13,2012,0,11,182,390,296,296,1333,556,3,150,0,39,827,1492,1351,1308,6286,2299,12,572,0,40,828,1492,1362,1363,6293,2299,12,572,10,Cornell University,Private,4,3,4,4,4,4,2,4,4,4,2,2,2,2,1,2,2,2,1
11_12_13,2012,0,2,111,181,17,138,1114,357,0,117,0,9,451,692,144,542,4720,1568,2,359,0,0,0,0,0,0,0,0,0,0,11,Northwestern University,Private,4,4,4,3,4,4,2,3,3,3,2,2,1,1,1,NA,2,2,2
16_12_13,2012,0,19,75,82,96,99,509,163,1,54,0,99,294,331,356,310,1949,588,3,168,0,99,294,331,415,334,1960,589,3,168,16,Dartmouth College,Private,4,4,4,4,4,4,2,4,3,4,2,2,2,1,1,2,3,1,1
17_12_13,2012,0,3,37,78,0,31,309,58,0,31,0,6,155,233,0,129,1157,221,0,110,0,6,156,233,0,144,1177,224,0,112,17,Williams College,Private,4,4,4,4,4,4,1,3,4,3,3,3,2,1,1,3,2,2,1
18_12_13,2012,0,4,111,193,99,182,689,167,2,89,0,17,368,632,595,694,2787,744,5,291,0,17,377,653,623,754,2910,800,5,296,18,Brown University,Private,4,3,3,3,3,3,2,3,4,4,2,2,2,2,1,2,2,2,4
19_12_13,2012,0,0,12,31,13,47,130,36,1,21,0,1,38,112,160,152,565,143,2,81,0,1,38,112,160,162,565,143,2,81,19,Claremont McKenna College,Private,4,4,4,4,3,4,2,4,3,4,2,2,2,1,1,2,2,2,1
21_12_13,2012,0,22,129,887,465,1530,1454,2322,11,0,0,96,408,3447,1819,2990,4996,8884,36,0,0,96,408,3447,1819,2990,4996,8884,36,0,21,UCSD,Public,4,1,4,4,4,NA,1,3,3,3,2,1,2,3,1,1,3,2,1
22_12_13,2012,0,0,5,35,1,17,74,112,0,20,0,3,17,104,4,107,314,395,3,50,0,3,17,104,4,107,314,395,3,50,22,California Institute of Technology,Private,4,3,3,3,3,3,1,3,2,3,2,2,1,1,1,2,2,2,1
23_12_13,2012,0,0,22,62,54,71,237,100,0,39,0,1,136,225,80,281,1036,486,1,118,0,1,137,227,134,303,1058,500,1,120,23,Wellesley College,Private,4,3,4,4,4,4,2,3,3,4,2,2,2,2,1,2,2,2,2
24_12_13,2012,0,2,48,46,32,48,188,67,0,32,0,2,204,212,161,178,729,214,0,117,0,2,204,212,161,178,729,214,0,117,24,Amherst College,Private,4,3,4,4,4,4,1,4,4,4,4,3,2,2,1,NA,3,2,1
25_12_13,2012,0,1,23,66,1,22,313,40,1,25,0,2,86,235,11,73,1181,131,2,110,0,2,86,235,11,78,1184,131,2,110,25,Bowdoin College,Private,4,4,4,3,4,4,2,4,4,4,3,3,2,2,1,2,1,1,1
26_12_13,2012,0,6,420,1167,144,51,3725,565,9,203,0,94,2565,5884,850,292,18803,2506,181,848,0,94,2631,6002,871,437,19149,2551,184,857,26,University of Florida,Public,4,2,4,3,4,1,1,4,4,4,3,2,3,2,1,1,4,3,2
27_12_13,2012,0,0,21,50,20,33,172,57,0,25,0,4,93,205,109,126,665,215,0,115,0,4,93,206,114,126,675,217,0,117,27,Swarthmore College,Private,4,4,4,3,4,4,2,3,2,4,2,2,2,2,2,2,2,2,2
28_12_13,2012,0,1,128,373,112,308,1223,713,3,160,0,29,807,2428,420,2121,7210,4141,31,807,0,29,816,2522,500,2237,7213,4158,31,810,28,University of Southern California,Private,4,2,4,4,4,4,2,3,3,2,2,2,1,1,1,2,2,2,1
29_12_13,2012,0,14,271,227,492,256,3916,784,4,184,0,45,1228,1122,1413,1721,18000,3356,12,877,0,45,1228,1127,1440,1804,18061,3379,12,883,29,UMich - Ann Arbor,Public,4,1,4,3,3,3,1,2,2,3,3,2,2,2,1,1,2,2,2
31_12_13,2012,0,23,304,232,87,76,2626,390,1,176,0,99,1531,1506,398,466,11876,1476,6,560,0,104,1628,1539,422,490,12203,1525,9,583,31,UNC,Public,4,4,4,4,4,4,1,4,4,4,3,3,1,4,1,3,3,3,NA
